,0,1
0,Budget,2.209417717295403
1,Runtime(mins),234820.3597837346
2,year,380235.8936118839
3,Year,380261.0469343824
4,CPMin,-154.02689556888072
5,Month,1986807.2533442646
6,Winter,12307610.004187528
7,Spring,12015312.17048794
8,Summer,3538700.2428604104
9,Age,-380260.0078667247
10,Action,-13798137.841837859
11,Adventure,5083867.654795772
12,Animation,35403216.68338819
13,Biography,-1178818.2407157589
14,Comedy,2643201.9672668697
15,Crime,-1302771.8265525354
16,Documentary,7030156.852895495
17,Drama,-11633271.583841184
18,Family,6055843.920297521
19,Fantasy,-5085642.919288017
20,History,-39687497.43414741
21,Horror,975026.1377785597
22,Music,11252829.199432684
23,Musical,-4102421.408926935
24,Mystery,-2852762.213494191
25,News,-9.201467037200928e-07
26,Romance,-12944918.06317279
27,Sci-Fi,4483621.900145942
28,Short,-4.3958425521850586e-07
29,Sport,-17799892.748396162
30,Thriller,-7703182.63548014
31,War,-21622457.78410796
32,Western,-44968784.969678156
33,A24,12662072.064327043
34,Affirm Films,12571776.081051882
35,Anchor Bay Films,-11982293.060709607
36,Annapurna Pictures,-47629250.341133215
37,Apparition,4229198.439743856
38,Artisan Entertainment,-1790357.5462140422
39,Aviron Pictures,-11556083.973783582
40,BH Tilt,-19271733.525807947
41,Bleecker Street Media,-32463178.36357875
42,Broad Green Pictures,-24059554.58074231
43,CBS Films,-667491.1819223586
44,Destination Films,-10369996.413889887
45,Dimension Films,18669287.26154335
46,DreamWorks,46764353.043472946
47,DreamWorks Distribution,24471881.245580193
48,Entertainment Studios Motion Pictures,-30416828.503394302
49,EuropaCorp,-2110745.0521325176
50,FilmDistrict,8071706.915672364
51,Focus Features,198157.0624672774
52,Fox Atomic,5488321.916703624
53,Fox Searchlight Pictures,9746394.188860917
54,Freestyle Releasing,27035450.795743953
55,IDP Distribution,4912232.553208564
56,Lionsgate,7209808.240079055
57,Metro-Goldwyn-Mayer (MGM),7740121.529399851
58,Miramax,15800576.052494226
59,Music Box Films,-15040199.51829844
60,New Line Cinema,42075641.205063745
61,Newmarket Films,81277224.25268431
62,Open Road Films (II),-7470836.936323635
63,Orion Pictures,-8895887.800617887
64,Overture Films,8553110.508352242
65,Pantelion Films,4041732.9086568207
66,Paramount Classics,3525829.1840437767
67,Paramount Pictures,744239.282516127
68,Paramount Vantage,-22442774.7755271
69,Picturehouse,-12939392.481394447
70,Pure Flix Entertainment,-6208578.1975756595
71,Quaker Media,29050597.185735814
72,R.S. Entertainment,-1932342.7214315196
73,Relativity Media,1159129.8740389054
74,Revolution Studios,14405235.915067002
75,Roadside Attractions,1107379.629582868
76,Rogue Pictures,17610448.51354924
77,STX Entertainment,-683002.4711644913
78,Screen Gems,16519709.181950467
79,Sony Pictures Classics,-22202898.443449587
80,Sony Pictures Releasing,11782081.507114094
81,Studio 8,-28704344.952762693
82,Summit Entertainment,95238367.73132749
83,The Samuel Goldwyn Company,44906396.515231945
84,The Weinstein Company,18522653.01086814
85,TriStar Pictures,24561418.092209015
86,Twentieth Century Fox,17918386.01685012
87,USA Films,5503213.713185831
88,United Artists,19646307.755422264
89,United Artists Releasing,4337033.1714170575
90,Universal Pictures,24064913.914743885
91,Walt Disney Studios Motion Pictures,52510517.29414525
92,Warner Bros.,12795055.494559908
93,Warner Independent Pictures (WIP),-29285954.814528916
94,NC-17,43224494.03011877
95,PG,16510439.965603212
96,PG-13,35747364.85036836
97,R,25674226.74365103
