,Movie_Title,Distributor,Domestic_Total_Gross,Budget,Runtime(mins),Rating,Release_Date,Genre
0,Star Wars: The Rise Of Skywalker,Walt Disney Studios Motion Pictures,483645801,,142,PG-13,2019-12-20,"Action, Adventure, Fantasy, Sci-Fi"
1,Star Wars: The Rise Of Skywalker,Walt Disney Studios Motion Pictures,483645801,,142,PG-13,2019-12-20,"Action, Adventure, Fantasy, Sci-Fi"
2,Jumanji: The Next Level,Sony Pictures Releasing,260912975,125000000,123,PG-13,2019-12-13,"Action, Adventure, Comedy, Fantasy"
3,Frozen II,Walt Disney Studios Motion Pictures,461151690,,103,PG,2019-11-22,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
4,Frozen II,Walt Disney Studios Motion Pictures,461151690,,103,PG,2019-11-22,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
5,Frozen II,Walt Disney Studios Motion Pictures,461151690,,103,PG,2019-11-22,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
6,Ford v Ferrari,Twentieth Century Fox,111810388,97600000,152,PG-13,2019-11-15,"Action, Biography, Drama, Sport"
7,Midway,Lionsgate,56754641,100000000,138,PG-13,2019-11-08,"Action, Drama, History, War"
8,Terminator: Dark Fate,Paramount Pictures,62253077,185000000,128,R,2019-11-01,"Action, Adventure, Sci-Fi"
9,Joker,Warner Bros.,334147201,55000000,122,R,2019-10-04,"Crime, Drama, Thriller"
10,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,113678295,,119,PG,2019-10-18,"Adventure, Family, Fantasy"
11,Joker,Warner Bros.,334147201,55000000,122,R,2019-10-04,"Crime, Drama, Thriller"
12,Joker,Warner Bros.,334147201,55000000,122,R,2019-10-04,"Crime, Drama, Thriller"
13,Abominable,Universal Pictures,60716390,75000000,97,PG,2019-09-27,"Adventure, Animation, Comedy, Family, Fantasy"
14,Downton Abbey,Focus Features,96854135,,122,PG,2019-09-20,"Drama, Romance"
15,It Chapter Two,Warner Bros.,211593228,,169,R,2019-09-06,"Drama, Fantasy, Horror"
16,It Chapter Two,Warner Bros.,211593228,,169,R,2019-09-06,"Drama, Fantasy, Horror"
17,Angel Has Fallen,Lionsgate,69030436,40000000,121,R,2019-08-23,"Action, Thriller"
18,Angel Has Fallen,Lionsgate,69030436,40000000,121,R,2019-08-23,"Action, Thriller"
19,Good Boys,Universal Pictures,83083070,20000000,90,R,2019-08-16,"Adventure, Comedy"
20,Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,173810100,200000000,137,,2019-08-02,"Action, Adventure"
21,Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,173810100,200000000,137,,2019-08-02,"Action, Adventure"
22,The Lion King,Walt Disney Studios Motion Pictures,543638043,260000000,118,PG,2019-07-19,"Adventure, Animation, Drama, Family, Musical"
23,The Lion King,Walt Disney Studios Motion Pictures,543638043,260000000,118,PG,2019-07-19,"Adventure, Animation, Drama, Family, Musical"
24,Spider,Sony Pictures Releasing,390532085,160000000,129,PG-13,2019-07-02,"Action, Adventure, Sci-Fi"
25,Spider,Sony Pictures Releasing,390532085,160000000,129,PG-13,2019-07-02,"Action, Adventure, Sci-Fi"
26,Toy Story 4,Walt Disney Studios Motion Pictures,434038008,,100,G,2019-06-21,"Adventure, Animation, Comedy, Family, Fantasy"
27,Toy Story 4,Walt Disney Studios Motion Pictures,434038008,,100,G,2019-06-21,"Adventure, Animation, Comedy, Family, Fantasy"
28,Men in Black: International,Sony Pictures Releasing,80001807,110000000,114,PG-13,2019-06-14,"Action, Adventure, Comedy, Sci-Fi"
29,The Secret Life of Pets 2,Universal Pictures,158257265,80000000,86,PG,2019-06-07,"Adventure, Animation, Comedy, Family"
30,Aladdin,Walt Disney Studios Motion Pictures,355559216,183000000,128,PG,2019-05-24,"Adventure, Family, Fantasy, Musical, Romance"
31,Aladdin,Walt Disney Studios Motion Pictures,355559216,183000000,128,PG,2019-05-24,"Adventure, Family, Fantasy, Musical, Romance"
32,John Wick: Chapter 3,Lionsgate,171015687,,131,R,2019-05-17,"Action, Crime, Thriller"
33,Avengers: Endgame,Walt Disney Studios Motion Pictures,858373000,356000000,181,PG-13,2019-04-26,"Action, Adventure, Drama, Sci-Fi"
34,Avengers: Endgame,Walt Disney Studios Motion Pictures,858373000,356000000,181,PG-13,2019-04-26,"Action, Adventure, Drama, Sci-Fi"
35,Avengers: Endgame,Walt Disney Studios Motion Pictures,858373000,356000000,181,PG-13,2019-04-26,"Action, Adventure, Drama, Sci-Fi"
36,The Curse of la Llorona,Warner Bros.,54733739,9000000,93,R,2019-04-19,"Horror, Mystery, Thriller"
37,Shazam!,Warner Bros.,140371656,100000000,132,PG-13,2019-04-05,"Action, Adventure, Comedy, Fantasy"
38,Shazam!,Warner Bros.,140371656,100000000,132,PG-13,2019-04-05,"Action, Adventure, Comedy, Fantasy"
39,Dumbo,Walt Disney Studios Motion Pictures,114766307,170000000,112,PG,2019-03-29,"Adventure, Family, Fantasy"
40,Us,Universal Pictures,175005930,20000000,116,R,2019-03-22,"Horror, Mystery, Thriller"
41,Captain Marvel,Walt Disney Studios Motion Pictures,426829839,,123,PG-13,2019-03-08,"Action, Adventure, Sci-Fi"
42,Captain Marvel,Walt Disney Studios Motion Pictures,426829839,,123,PG-13,2019-03-08,"Action, Adventure, Sci-Fi"
43,How to Train Your Dragon: The Hidden World,Universal Pictures,160799505,129000000,104,PG,2019-02-22,"Action, Adventure, Animation, Family, Fantasy"
44,How to Train Your Dragon: The Hidden World,Universal Pictures,160799505,129000000,104,PG,2019-02-22,"Action, Adventure, Animation, Family, Fantasy"
45,Alita: Battle Angel,Twentieth Century Fox,85710210,170000000,122,PG-13,2019-02-14,"Action, Adventure, Sci-Fi, Thriller"
46,The Lego Movie 2: The Second Part,Warner Bros.,105806508,,107,PG,2019-02-08,"Action, Adventure, Animation, Comedy, Family, Fantasy, Musical"
47,Glass,Universal Pictures,111035005,20000000,129,PG-13,2019-01-18,"Drama, Sci-Fi, Thriller"
48,Glass,Universal Pictures,111035005,20000000,129,PG-13,2019-01-18,"Drama, Sci-Fi, Thriller"
49,Glass,Universal Pictures,111035005,20000000,129,PG-13,2019-01-18,"Drama, Sci-Fi, Thriller"
50,The Upside,STX Entertainment,108252517,37500000,126,PG-13,2019-01-11,"Comedy, Drama"
51,Aquaman,Warner Bros.,335061807,,143,PG-13,2018-12-21,"Action, Adventure, Fantasy, Sci-Fi"
52,Aquaman,Warner Bros.,335061807,,143,PG-13,2018-12-21,"Action, Adventure, Fantasy, Sci-Fi"
53,Aquaman,Warner Bros.,335061807,,143,PG-13,2018-12-21,"Action, Adventure, Fantasy, Sci-Fi"
54,Spider,Sony Pictures Releasing,190241310,,117,PG,2018-12-14,"Action, Adventure, Animation, Family, Sci-Fi"
55,Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,201091711,175000000,112,PG,2018-11-21,"Adventure, Animation, Comedy, Family, Fantasy"
56,Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,201091711,175000000,112,PG,2018-11-21,"Adventure, Animation, Comedy, Family, Fantasy"
57,Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,201091711,175000000,112,PG,2018-11-21,"Adventure, Animation, Comedy, Family, Fantasy"
58,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,159555901,200000000,134,PG-13,2018-11-16,"Adventure, Family, Fantasy"
59,Dr. Seuss' The Grinch,Universal Pictures,270620950,75000000,85,PG,2018-11-09,"Animation, Family, Fantasy"
60,Bohemian Rhapsody,Twentieth Century Fox,216428042,52000000,134,PG-13,2018-11-02,"Biography, Drama, Music"
61,Halloween,Universal Pictures,159342015,10000000,106,R,2018-10-19,"Horror, Thriller"
62,Halloween,Universal Pictures,159342015,10000000,106,R,2018-10-19,"Horror, Thriller"
63,Venom,Sony Pictures Releasing,213515506,100000000,112,PG-13,2018-10-05,"Action, Sci-Fi, Thriller"
64,Venom,Sony Pictures Releasing,213515506,100000000,112,PG-13,2018-10-05,"Action, Sci-Fi, Thriller"
65,Night School,Universal Pictures,77339130,29000000,111,PG-13,2018-09-28,Comedy
66,The House with a Clock in Its Walls,Universal Pictures,68549695,42000000,105,PG,2018-09-21,"Comedy, Family, Fantasy, Horror, Sci-Fi"
67,The Predator,Twentieth Century Fox,51024708,88000000,107,R,2018-09-14,"Action, Adventure, Sci-Fi, Thriller"
68,The Nun,Warner Bros.,117450119,22000000,96,R,2018-09-07,"Horror, Mystery, Thriller"
69,Crazy Rich Asians,Warner Bros.,174532921,30000000,,PG-13,2018-08-15,"Comedy, Drama, Romance"
70,Crazy Rich Asians,Warner Bros.,174532921,30000000,,PG-13,2018-08-15,"Comedy, Drama, Romance"
71,Crazy Rich Asians,Warner Bros.,174532921,30000000,,PG-13,2018-08-15,"Comedy, Drama, Romance"
72,The Meg,Warner Bros.,145443742,130000000,113,PG-13,2018-08-10,"Action, Horror, Sci-Fi, Thriller"
73,Mission: Impossible,Paramount Pictures,220159104,178000000,147,PG-13,2018-07-27,"Action, Adventure, Thriller"
74,Mission: Impossible,Paramount Pictures,220159104,178000000,147,PG-13,2018-07-27,"Action, Adventure, Thriller"
75,Mamma Mia! Here We Go Again,Universal Pictures,120634935,75000000,114,PG-13,2018-07-20,"Comedy, Musical, Romance"
76,Hotel Transylvania 3: Summer Vacation,Sony Pictures Releasing,167510016,80000000,97,PG,2018-07-13,"Adventure, Animation, Comedy, Family, Fantasy"
77,Ant,Walt Disney Studios Motion Pictures,216648740,,118,PG-13,2018-07-06,"Action, Adventure, Comedy, Sci-Fi"
78,Jurassic World: Fallen Kingdom,Universal Pictures,417719760,170000000,128,PG-13,2018-06-22,"Action, Adventure, Sci-Fi"
79,Jurassic World: Fallen Kingdom,Universal Pictures,417719760,170000000,128,PG-13,2018-06-22,"Action, Adventure, Sci-Fi"
80,Incredibles 2,Walt Disney Studios Motion Pictures,608581744,,118,PG,2018-06-15,"Action, Adventure, Animation, Comedy, Family, Sci-Fi"
81,Ocean's Eight,Warner Bros.,140218711,70000000,110,PG-13,2018-06-08,"Action, Comedy, Crime, Thriller"
82,Solo: A Star Wars Story,Walt Disney Studios Motion Pictures,213767512,275000000,135,PG-13,2018-05-25,"Action, Adventure, Sci-Fi"
83,Solo: A Star Wars Story,Walt Disney Studios Motion Pictures,213767512,275000000,135,PG-13,2018-05-25,"Action, Adventure, Sci-Fi"
84,Deadpool 2,Twentieth Century Fox,318491426,110000000,119,R,2018-05-18,"Action, Adventure, Comedy, Sci-Fi"
85,Avengers: Infinity War,Walt Disney Studios Motion Pictures,678815482,,149,PG-13,2018-04-27,"Action, Adventure, Sci-Fi"
86,Avengers: Infinity War,Walt Disney Studios Motion Pictures,678815482,,149,PG-13,2018-04-27,"Action, Adventure, Sci-Fi"
87,Avengers: Infinity War,Walt Disney Studios Motion Pictures,678815482,,149,PG-13,2018-04-27,"Action, Adventure, Sci-Fi"
88,A Quiet Place,Paramount Pictures,188024361,17000000,90,PG-13,2018-04-06,"Drama, Horror, Sci-Fi"
89,Rampage,Warner Bros.,101028233,120000000,107,PG-13,2018-04-13,"Action, Adventure, Sci-Fi"
90,A Quiet Place,Paramount Pictures,188024361,17000000,90,PG-13,2018-04-06,"Drama, Horror, Sci-Fi"
91,Ready Player One,Warner Bros.,137690172,175000000,140,PG-13,2018-03-29,"Action, Adventure, Sci-Fi"
92,Pacific Rim: Uprising,Universal Pictures,59874525,150000000,111,PG-13,2018-03-23,"Action, Adventure, Sci-Fi"
93,Black Panther,Walt Disney Studios Motion Pictures,700059566,,134,PG-13,2018-02-16,"Action, Adventure, Sci-Fi"
94,Black Panther,Walt Disney Studios Motion Pictures,700059566,,134,PG-13,2018-02-16,"Action, Adventure, Sci-Fi"
95,Black Panther,Walt Disney Studios Motion Pictures,700059566,,134,PG-13,2018-02-16,"Action, Adventure, Sci-Fi"
